Make;Model;Co2;Weight;Fuel;EngDispl;Power
ALFA ROMEO;159 1.9 JTD 8V;157;1600;Diesel;1910;88
ALFA ROMEO;4 C;157;995;Petrol;1742;177
ALFA ROMEO;4C;157;995;Petrol;1742;177
ALFA ROMEO;4C / 1.8 / OPE;157;995;Petrol;1742;177
ALFA ROMEO;ALFA  GIULIETTA;148;1355;Petrol;1368;88
ALFA ROMEO;ALFA BRERA;179;1675;Diesel;2387;147
ALFA ROMEO;ALFA GIULIETTA;162;1395;Petrol;1742;177
ALFA ROMEO;ALFA GIULIETTA;124;1395;Diesel;1956;125
ALFA ROMEO;ALFA GIULIETTA;131;1365;Petrol;1368;110
ALFA ROMEO;ALFA GIULIETTA;131;1365;Petrol;1368;125
ALFA ROMEO;ALFA GIULIETTA;134;1365;Petrol;1368;125
ALFA ROMEO;ALFA GIULIETTA;148;1355;Petrol;1368;77
ALFA ROMEO;ALFA GIULIETTA;148;1355;Petrol;1368;88
ALFA ROMEO;ALFA GIULIETTA;149;1355;Petrol;1368;77
ALFA ROMEO;ALFA GIULIETTA;121;1380;Petrol;1368;125
ALFA ROMEO;ALFA GIULIETTA;149;1355;Petrol;1368;88
ALFA ROMEO;ALFA GIULIETTA;131;1365;Petrol;1368;120
ALFA ROMEO;ALFA GIULIETTA;177;1395;Petrol;1742;172
ALFA ROMEO;ALFA GIULIETTA;177;1395;Petrol;1742;173
ALFA ROMEO;ALFA GIULIETTA;149;1355;Petrol;1368;85
ALFA ROMEO;ALFA GIULIETTA;110;1395;Diesel;1956;110
ALFA ROMEO;ALFA GIULIETTA;132;1365;PETROL;1368;125
ALFA ROMEO;ALFA GIULIETTA;110;1395;Diesel;1956;100
ALFA ROMEO;ALFA GIULIETTA;121;1380;Petrol;1368;120
ALFA ROMEO;ALFA GIULIETTA;112;1385;Diesel;1598;77
ALFA ROMEO;ALFA GIULIETTA;114;1385;Diesel;1598;77
ALFA ROMEO;ALFA GIULIETTA;116;1410;Diesel;1956;120
ALFA ROMEO;ALFA GIULIETTA;116;1410;Diesel;1956;128
ALFA ROMEO;ALFA GIULIETTA;116;1410;Diesel;1956;129
ALFA ROMEO;ALFA GIULIETTA;119;1380;Petrol;1368;120
ALFA ROMEO;ALFA GIULIETTA;119;1380;Petrol;1368;125
ALFA ROMEO;ALFA GIULIETTA;119;1395;Diesel;1956;103
ALFA ROMEO;ALFA GIULIETTA;119;1410;Diesel;1956;120
ALFA ROMEO;ALFA GIULIETTA;119;1410;Diesel;1956;125
ALFA ROMEO;ALFA GIULIETTA;117;1380;PETROL;1368;125
ALFA ROMEO;ALFA GIULIETTA;104;1385;Diesel;1598;77
ALFA ROMEO;ALFA MITO;139;1220;Petrol;1368;125
ALFA ROMEO;ALFA MITO;124;1245;Petrol;1368;125
ALFA ROMEO;ALFA MITO;126;1245;Petrol;1368;99
ALFA ROMEO;ALFA MITO;128;1210;Petrol;1368;99
ALFA ROMEO;ALFA MITO;129;1210;Petrol;1368;99
ALFA ROMEO;ALFA MITO;130;1155;Petrol;1368;57
ALFA ROMEO;ALFA MITO;134;1155;Petrol;1368;51
ALFA ROMEO;ALFA MITO;134;1165;Petrol;1368;77
ALFA ROMEO;ALFA MITO;138;1155;Petrol;1368;58
ALFA ROMEO;ALFA MITO;139;1220;Petrol;1368;120
ALFA ROMEO;ALFA MITO;153;1220;Petrol;1368;114
ALFA ROMEO;ALFA MITO;122;1280;Diesel;1598;88
ALFA ROMEO;ALFA MITO;124;1245;Petrol;1368;103
ALFA ROMEO;ALFA MITO;138;1155;Petrol;1368;70
ALFA ROMEO;ALFA MITO;90;1225;Diesel;1248;62
ALFA ROMEO;ALFA MITO;114;1280;Diesel;1598;88
ALFA ROMEO;ALFA MITO;124;1245;Petrol;1368;120
ALFA ROMEO;ALFA MITO;88;1225;DIESEL;1248;62
ALFA ROMEO;ALFA MITO;95;1225;DIESEL;1248;62
ALFA ROMEO;ALFA MITO;98;1205;Petrol;875;62
ALFA ROMEO;ALFA MITO;98;1205;Petrol;875;63
ALFA ROMEO;ALFA MITO;99;1205;Petrol;875;77
ALFA ROMEO;ALFA MITO;112;1225;Diesel;1248;70
ALFA ROMEO;ALFA MITO;112;1280;Diesel;1598;85
ALFA ROMEO;ALFA MITO;112;1280;Diesel;1598;88
ALFA ROMEO;ALFA MITO;114;1225;Diesel;1248;66
ALFA ROMEO;ALFA MITO;85;1225;DIESEL;1248;59
ALFA ROMEO;ALFA MITO;114;1280;Diesel;1598;85
ALFA ROMEO;ALFA MITO;104;1225;Diesel;1248;70
ALFA ROMEO;ALFA MITO;88;1205;PETROL;875;73
ALFA ROMEO;ALFA ROMEO 147;153;1385;Diesel;1910;88
ALFA ROMEO;ALFA ROMEO 147;287;1435;Petrol;3179;184
ALFA ROMEO;ALFA ROMEO 147;196;1265;Petrol;1598;77
ALFA ROMEO;ALFA ROMEO 147;194;1275;Petrol;1598;88
ALFA ROMEO;ALFA ROMEO 147;157;1385;Diesel;1910;125
ALFA ROMEO;ALFA ROMEO 147;155;1365;Diesel;1910;85
ALFA ROMEO;ALFA ROMEO 147;153;1365;Diesel;1910;88
ALFA ROMEO;ALFA ROMEO 147;157;1385;Diesel;1910;103
ALFA ROMEO;ALFA ROMEO 156;155;1380;Diesel;1910;85
ALFA ROMEO;ALFA ROMEO 159;189;1505;Petrol;1742;147
ALFA ROMEO;ALFA ROMEO 159;181;1505;Petrol;1796;103
ALFA ROMEO;ALFA ROMEO 159;150;1565;Diesel;1910;110
ALFA ROMEO;ALFA ROMEO 159;139;1565;Diesel;1956;125
ALFA ROMEO;ALFA ROMEO 159;179;1705;Diesel;2387;147
ALFA ROMEO;ALFA ROMEO 159;159;1610;Diesel;1910;110
ALFA ROMEO;ALFA ROMEO 159 SPORTWAGON;185;1755;Diesel;2387;147
ALFA ROMEO;ALFA ROMEO 159 SPORTWAGON;291;1825;Petrol;3195;191
ALFA ROMEO;ALFA ROMEO 166;197;1615;Diesel;2387;136
ALFA ROMEO;ALFA ROMEO 8C COMPETIZIONE;377;1660;Petrol;4691;331
ALFA ROMEO;ALFA ROMEO 8C SPIDER;379;1750;Petrol;4691;331
ALFA ROMEO;ALFA ROMEO GT;295;1485;Petrol;3179;177
ALFA ROMEO;ALFA SPIDER;221;1605;Petrol;2198;136
ALFA ROMEO;ALFAGIULIETTA;114;1385;Diesel;1598;77
ALFA ROMEO;ALFAGIULIETTA;104;1385;Diesel;1598;77
ALFA ROMEO;DODGEDARTGT;211;1645;Petrol;2360;138
ALFA ROMEO;GIULIETTA;149;1355;Petrol;1368;88
ALFA ROMEO;GIULIETTA;134;1365;Petrol;1368;125
ALFA ROMEO;GIULIETTA;131;1365;Petrol;1368;125
ALFA ROMEO;GIULIETTA;148;1355;Petrol;1368;77
ALFA ROMEO;GIULIETTA;148;1355;PETROL;1368;88
Alfa Romeo;Giulietta;149;1355;Petrol;1368;77
ALFA ROMEO;GIULIETTA;157;995;Petrol;1742;177
ALFA ROMEO;GIULIETTA;162;1395;Petrol;1742;177
ALFA ROMEO;GIULIETTA;162;1551;Petrol;1742;173
ALFA ROMEO;GIULIETTA;177;1395;Petrol;1742;172
ALFA ROMEO;GIULIETTA;129;1365;Petrol;1368;110
ALFA ROMEO;GIULIETTA;129;1365;Petrol;1368;125
ALFA ROMEO;GIULIETTA;177;1395;Petrol;1742;173
ALFA ROMEO;GIULIETTA;110;1395;Diesel;1956;100
ALFA ROMEO;GIULIETTA;124;1395;Diesel;1956;125
ALFA ROMEO;GIULIETTA;110;1395;Diesel;1368;110
ALFA ROMEO;GIULIETTA;110;1395;Diesel;1956;110
ALFA ROMEO;GIULIETTA;112;1385;Diesel;1598;77
Alfa Romeo;Giulietta;114;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA;116;1410;Diesel;1956;128
ALFA ROMEO;GIULIETTA;117;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA;119;1395;Diesel;1956;103
ALFA ROMEO;GIULIETTA;119;1410;Diesel;1956;120
ALFA ROMEO;GIULIETTA;119;1410;Diesel;1956;125
ALFA ROMEO;GIULIETTA;131;1365;Petrol;1368;110
ALFA ROMEO;GIULIETTA;121;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA;104;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA;119;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA  1.4 T 105;148;1355;Petrol;1368;77
ALFA ROMEO;GIULIETTA  1.4 T 105;149;1355;Petrol;1368;77
ALFA ROMEO;GIULIETTA  1.4 T 120;148;1355;Petrol;1368;88
ALFA ROMEO;GIULIETTA  1.4 T 120;149;1355;Petrol;1368;88
ALFA ROMEO;GIULIETTA  1.4 T 170;134;1365;Petrol;1368;125
ALFA ROMEO;GIULIETTA  1.4 T 170;131;1365;Petrol;1368;125
ALFA ROMEO;GIULIETTA  1.4 T 170  TCT;121;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA  1.4 T 170 TCT;119;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA  1.4 T 170 TCT;121;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA  1.6 JTD 105;104;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA  1.6 JTD 105;114;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA  1.8 T 234;177;1395;Petrol;1742;173
ALFA ROMEO;GIULIETTA  1.8 T 240 TCT;162;1395;Petrol;1742;177
ALFA ROMEO;GIULIETTA  2.0 JTD 150;110;1395;Diesel;1956;110
ALFA ROMEO;GIULIETTA  2.0 JTD 170 TCT;119;1410;Diesel;1956;125
ALFA ROMEO;GIULIETTA  2.0 JTD 175 TCT;116;1410;Diesel;1956;128
ALFA ROMEO;GIULIETTA / 1.4 /;119;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA / 1.4 /;131;1365;Petrol;1368;125
ALFA ROMEO;GIULIETTA / 1.4 /;148;1355;Petrol;1368;77
ALFA ROMEO;GIULIETTA / 1.4 /;148;1355;Petrol;1368;88
ALFA ROMEO;GIULIETTA / 1.6 / JTD;104;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA / 1.8 / TCT;162;1395;Petrol;1742;177
ALFA ROMEO;GIULIETTA / 2.0 / JTD;110;1395;Diesel;1956;110
ALFA ROMEO;GIULIETTA 1.4 TURBO;148;1355;Petrol;1368;88
ALFA ROMEO;GIULIETTA 1.4 TURBO;148;1355;Petrol;1368;77
ALFA ROMEO;GIULIETTA 1.4 TURBO MULTIAIR;119;1380;Petrol;1368;125
ALFA ROMEO;GIULIETTA 1.6 MULTIJET 16v;104;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA 1.6 MULTIJET 16v;114;1385;Diesel;1598;77
ALFA ROMEO;GIULIETTA 1750 TBi QV;162;1395;Petrol;1742;177
ALFA ROMEO;GIULIETTA 2.0 MULTIJET 16v;124;1395;Diesel;1956;125
ALFA ROMEO;GIULIETTA 2.0 MULTIJET 16v;110;1395;Diesel;1956;110
ALFA ROMEO;GIULIETTA 2.0 MULTIJET 16v;119;1395;Diesel;1956;103
ALFA ROMEO;GIULIETTAQV;177;1395;Petrol;1742;173
ALFA ROMEO;GUILIETTAQV;177;1395;Petrol;1742;173
ALFA ROMEO;MITO;124;1245;Petrol;1368;103
ALFA ROMEO;MITO;134;1165;Petrol;1368;77
Alfa Romeo;MiTo;134;1155;Petrol;1368;51
ALFA ROMEO;MITO;130;1155;Petrol;1368;57
ALFA ROMEO;MITO;128;1210;Petrol;1368;99
ALFA ROMEO;MITO;112;1225;Diesel;1248;70
ALFA ROMEO;MITO;126;1245;Petrol;1368;99
ALFA ROMEO;MITO;139;1220;Petrol;1368;125
ALFA ROMEO;MITO;124;1245;Petrol;1368;125
ALFA ROMEO;MITO;124;1245;Petrol;1368;120
ALFA ROMEO;MITO;115;1210;Petrol;875;77
ALFA ROMEO;MITO;114;1280;Diesel;1598;88
ALFA ROMEO;MITO;114;1280;Diesel;1598;85
ALFA ROMEO;MITO;112;1280;Diesel;1598;85
ALFA ROMEO;MITO;104;1225;Diesel;1248;70
ALFA ROMEO;MITO;99;1205;Petrol;875;77
ALFA ROMEO;MITO;90;1225;Diesel;1248;62
ALFA ROMEO;MITO;88;1225;Diesel;1248;62
ALFA ROMEO;MITO;112;1280;Diesel;1598;88
ALFA ROMEO;MITO;122;1280;Diesel;1598;88
ALFA ROMEO;MITO 0.9T  105;99;1205;Petrol;875;77
ALFA ROMEO;MITO 1.4  105;134;1165;Petrol;1368;77
ALFA ROMEO;MITO 1.4  70;134;1155;Petrol;1368;51
ALFA ROMEO;MITO 1.4  78;130;1155;Petrol;1368;57
ALFA ROMEO;MITO 1.4 T  135 TCT;126;1245;Petrol;1368;99
ALFA ROMEO;MITO 1.4 T  140 TCT;124;1245;Petrol;1368;103
ALFA ROMEO;MITO 1.4 T 140 TCT;124;1245;Petrol;1368;103
ALFA ROMEO;MITO 1.6 MULTIJET 16v;114;1280;Diesel;1598;88
ALFA ROMEO;VIPERGTS;418;1520;Petrol;8382;477
ASTON MARTIN;ASTONMARTIN VANQUISH;335;1924;Petrol;5935;422
ASTON MARTIN;CYGNET;116;1063;Petrol;1329;72
ASTON MARTIN;CYGNET;120;1063;Petrol;1329;72
ASTON MARTIN;DB9;333;1860;Petrol;5935;381
ASTON MARTIN;DB9;394;1875;Petrol;5935;336
ASTON MARTIN;DB9;325;1860;Petrol;5935;381
ASTON MARTIN;DB9;345;1875;Petrol;5935;350
ASTON MARTIN;DB9;333;1965;Petrol;5935;381
ASTON MARTIN;DB9 VOLANTE;325;1965;Petrol;5935;381
ASTON MARTIN;DB9 VOLANTE;333;1965;Petrol;5935;381
ASTON MARTIN;DB9VOLANTE;325;1965;Petrol;5935;381
ASTON MARTIN;DB9VOLANTE;333;1965;Petrol;5935;381
ASTON MARTIN;DBS;367;1815;Petrol;5935;380
ASTON MARTIN;RAPIDE;355;2065;Petrol;5935;350
ASTON MARTIN;RAPIDE S;332;2065;Petrol;5935;410
ASTON MARTIN;RAPIDE S;300;2065;Petrol;5935;410
ASTON MARTIN;RAPIDE S;300;2065;Petrol;5935;412
ASTON MARTIN;RAPIDES;300;2065;Petrol;5935;412
ASTON MARTIN;RAPIDES;332;2065;Petrol;5935;410
ASTON MARTIN;V12 VANTAGE;343;1740;Petrol;5935;422
ASTON MARTIN;V12 VANTAGE;388;1755;Petrol;5935;380
ASTON MARTIN;V12 VANTAGE ROADSTER;388;1835;Petrol;5935;380
ASTON MARTIN;V12 VANTAGE S;343;1740;Petrol;5935;422
ASTON MARTIN;V12 ZAGATO;388;1755;Petrol;5935;380
ASTON MARTIN;V12VANTAGE;388;1755;Petrol;5935;380
ASTON MARTIN;V12VANTAGEROADSTER;388;1835;Petrol;5935;380
ASTON MARTIN;V12VANTAGES;343;1740;Petrol;5935;422
ASTON MARTIN;V12VANTAGESROADSTER;343;1820;Petrol;5935;422
ASTON MARTIN;V8 VANTAGE;300;1705;Petrol;4735;313
ASTON MARTIN;V8 VANTAGE;299;1705;Petrol;4735;313
ASTON MARTIN;V8 VANTAGE;299;1685;Petrol;4735;320
ASTON MARTIN;V8 VANTAGE;296;1685;Petrol;4735;320
ASTON MARTIN;V8 VANTAGE;321;1685;Petrol;4735;320
ASTON MARTIN;V8 VANTAGE ROADSTER;299;1765;Petrol;4735;320
ASTON MARTIN;V8 VANTAGE ROADSTER;300;1785;Petrol;4735;313
ASTON MARTIN;V8 VANTAGE ROADSTER;321;1785;Petrol;4735;313
ASTON MARTIN;V8 VANTAGE S;296;1685;Petrol;4735;321
ASTON MARTIN;V8 VANTAGE S;299;1685;Petrol;4735;320
ASTON MARTIN;V8 VANTAGE S;299;1685;Petrol;4735;321
ASTON MARTIN;V8 VANTAGE S;321;1685;Petrol;4735;321
ASTON MARTIN;V8 VANTAGE S ROADSTER;321;1765;Petrol;4735;321
ASTON MARTIN;V8 VANTAGE S ROADSTER;299;1765;Petrol;4735;321
ASTON MARTIN;V8VANTAGE;321;1705;Petrol;4735;313
ASTON MARTIN;V8VANTAGE;296;1685;Petrol;4735;321
ASTON MARTIN;V8VANTAGE;299;1705;Petrol;4735;313
ASTON MARTIN;V8VANTAGEROADSTAR;299;1785;Petrol;4735;313
ASTON MARTIN;V8VANTAGEROADSTER;321;1785;Petrol;4735;313
ASTON MARTIN;V8VANTAGES;296;1685;Petrol;4735;321
ASTON MARTIN;V8VANTAGES;299;1685;Petrol;4735;321
ASTON MARTIN;V8VANTAGES;321;1685;Petrol;4735;321
ASTON MARTIN;V8VANTAGESROADSTER;296;1765;Petrol;4735;321
ASTON MARTIN;V8VANTAGESROADSTER;299;1765;Petrol;4735;321
ASTON MARTIN;V8VANTAGESROADSTER;321;1765;Petrol;4735;321
ASTON MARTIN;VANQUISH;335;1814;Petrol;5935;422
ASTON MARTIN;VANQUISH;298;1814;Petrol;5935;423
ASTON MARTIN;VANQUISH;298;1814;Petrol;5935;422
ASTON MARTIN;VANQUISH;335;1924;Petrol;5935;422
ASTON MARTIN;VANQUISH VOLANTE;298;1924;Petrol;5935;423
ASTON MARTIN;VANQUISH VOLANTE;335;1924;Petrol;5935;422
ASTON MARTIN;VANQUISHVOLANTE;298;1924;Petrol;5935;423
ASTON MARTIN;VANQUISHVOLANTE;335;1924;Petrol;5935;422
ASTON MARTIN;VANTAGE;299;1685;Petrol;4735;320
ASTON MARTIN;VANTAGE;343;1740;Petrol;5935;422
ASTON MARTIN;VANTAGE N430;296;1685;Petrol;4735;320
ASTON MARTIN;VANTAGEN430;296;1685;Petrol;4735;321
ASTON MARTIN;VANTAGEN430ROADSTER;296;1785;Petrol;4735;321
AUDI;8R;149;1925;Diesel;1968;140
AUDI;8U;174;1585;Petrol;1984;125
AUDI;A 1 SPORTBACK;99;1235;Diesel;1598;66
AUDI;A 1 SPORTBACK;99;1240;Diesel;1598;77
AUDI;A 3;106;1350;Diesel;1968;110
AUDI;A 3;120;1250;Petrol;1395;90
AUDI;A 4 ALLROAD QUATTRO;164;1685;Petrol;1984;165
AUDI;A 4 AVANT;124;1705;Diesel;1968;110
AUDI;A 4 AVANT;129;1650;Diesel;1968;110
AUDI;A 4 AVANT;154;1800;Diesel;2967;180
AUDI;A 4 LIMOUSINE;139;1670;Diesel;1968;130
AUDI;A 4 LIMOUSINE;134;1505;Petrol;1798;125
AUDI;A 4 LIMOUSINE;155;1645;Petrol;1984;165
AUDI;A 4 LIMOUSINE;144;1580;Petrol;1798;125
AUDI;A 4 LIMOUSINE;134;1635;Diesel;1968;130
AUDI;A 4 LIMOUSINE;127;1595;Diesel;1968;130
AUDI;A 4 LIMOUSINE;127;1590;Diesel;1968;110
AUDI;A 4 LIMOUSINE;119;1555;Diesel;1968;110
AUDI;A 4 LIMOUSINE;127;1590;Diesel;1968;105
AUDI;A 4 LIMOUSINE;151;1505;Petrol;1798;88
AUDI;A 4 LIMOUSINE;119;1650;Diesel;1968;110
AUDI;A 4 LIMOUSINE;133;1635;Diesel;1968;110
AUDI;A 5 CABRIOLET;199;1925;Petrol;2995;200
AUDI;A 5 SPORTBACK;127;1615;Diesel;1968;110
AUDI;A 6;132;1660;Diesel;1968;130
AUDI;A 6 ALLROAD QUATTRO;176;1985;Diesel;2967;230
AUDI;A 6 AVANT;119;1765;Diesel;1968;140
AUDI;A 6 AVANT;119;1800;Diesel;1968;140
AUDI;A 6 AVANT;152;1865;Diesel;2967;150
AUDI;A 6 LIMOUSINE;149;1795;Diesel;2967;150
AUDI;A 6 LIMOUSINE;187;1755;Petrol;2773;150
AUDI;A 6 LIMOUSINE;166;1865;Diesel;2967;230
AUDI;A 6 LIMOUSINE;156;1795;Diesel;2967;180
AUDI;A 6 LIMOUSINE;149;1640;Petrol;1984;132
AUDI;A 6 LIMOUSINE;133;1845;Diesel;2967;200
AUDI;A 6 LIMOUSINE;132;1709;Diesel;1968;130
AUDI;A 6 LIMOUSINE;114;1735;Diesel;1968;140
AUDI;A 6 LIMOUSINE;129;1650;Diesel;1968;130
AUDI;A 7 SPORTBACK;162;1970;Diesel;2967;235
AUDI;A 7 SPORTBACK;166;1925;Diesel;2967;230
AUDI;A 8;155;1955;Diesel;2967;190
AUDI;A 8;194;2115;Diesel;4134;283
AUDI;A 8 L;197;2170;Diesel;4134;283
AUDI;A 8 L;216;2050;Petrol;3993;320
AUDI;A 8 L;158;2010;Diesel;2967;190
AUDI;A 8 L;158;2047;Diesel;2967;190
AUDI;A1;116;1171;Petrol;1197;63
AUDI;A1;118;1140;Petrol;1197;90
AUDI;A1;118;1140;Petrol;1197;63
AUDI;A1;118;1115;Petrol;1197;63
AUDI;A1;117;1190;Petrol;1395;92
AUDI;A1;118;1140;Petrol;1197;136
AUDI;A1;116;1181;Petrol;1197;63
AUDI;A1;119;1200;Petrol;1390;90
AUDI;A1;116;1170;Petrol;1197;63
AUDI;A1;116;1168;Petrol;1197;63
AUDI;A1;116;1166;Petrol;1197;63
AUDI;A1;113;1210;Petrol;1395;63
AUDI;A1;116;1160;Petrol;1197;63
AUDI;A1;116;1215;Petrol;1197;63
